VALUE;remove_RT;;
negatif;ndrakusuma Musibah yg paling besar bukan Corona, tpi kebijakan pemimpin yg mencle, diawal covid TKA bebas masuk, dipenghujung thn IDI dan akedemisi ahli pandemi mnta menunda PILKada, tpi sang penguasa tetep kekeh karena ada anak dan menantunya ikut PILKADA;;
positif;UNDIRLM Orang Bima mah sante aja itu seakan akan gak ada covid , apalagi masa kampanye pilkada kemarin;;
;Ketua KPU Sumsel Meninggal Dunia Terpapar COVID-✅ Klaim ⁦ohmahfudmd⁩ Pilkada Serentak  Bebas Klaster Covid-. Simak➡️ https://t.co/FewwcxNOS  https://t.co/LhRBGZBwJy;uta kasus;
;ogjaBergerak ga mungkin lah covid itu karena pilkada,  covid itu sudah dipastikan bisa memilah dan memilih korban kok;;
;elindch iya bener. Pilkada, Pilpres sm Covid emg bagus utk menyaring pertemanan. Karakter asli sm cara berpikirnya keliatan jelas.;;
;uppycakees @stepunzel @tiuwtiw Udah tau ada bencana covid eh malah dananya dikorupsi! Orang ga boleh berkerumunan eh pilkada tetep jalan! Dah tau ombnibus law bisa bikin demo eh tetap disahkan! Yg diatas dpt uang yg dibawah kebingungan cari uang! Masih disuruh dirumah aja! Kalo g;;
;ESTETICA_ @kentvrama Pilkada serentak virusnya menghilang. Covid naik mendadak diluar pilkada serentak;;
;adityo_utomo @weda_wi @ainunnajib Rkyt itu gmn yg ngatur. Klo yg ngatur terlihat tdk serius, lah gmn yg diatur? Seribu kali warning bahaya covid, tp tempat wisata tetap dibuka, ngasi diskon pula! Seribu kali warning bahaya covid, tp pilkada tetap harus terlaksana. Ga semua rkyt i;;
;iermanmuch @weda_wi @ainunnajib Rkyt itu gmn yg ngatur. Klo yg ngatur terlihat tdk serius, lah gmn yg diatur? Seribu kali warning bahaya covid, tp tempat wisata tetap dibuka, ngasi diskon pula! Seribu kali warning bahaya covid, tp pilkada tetap harus terlaksana. Ga semua rkyt itu;;
;eanAprilia Nanganin Covid SUKSES  Bikin Ekonomi meroket SUKSES  Nurunin Utang SUKSES Ungkap kasus HAM SUKSES  Bikin Rupiah K SUKSES  Back Indosat SUKSES  Nurunin kasus Korupsi SUKSES Ngurangin Impor SUKSES Yang GAGAL Bubarin HTI dan  FPI serta jadiin anak mantu menang pilkada  ed;;
;ersamaSahabat Nanganin Covid SUKSES  Bikin Ekonomi meroket SUKSES  Nurunin Utang SUKSES Ungkap kasus HAM SUKSES  Bikin Rupiah K SUKSES  Back Indosat SUKSES  Nurunin kasus Korupsi SUKSES Ngurangin Impor SUKSES Yang GAGAL Bubarin HTI dan  FPI serta jadiin anak mantu menang pilkada;;
;https://t.co/ypNrJlMson  China membangun sebuah rumah sakit dengan . kamar untuk para pasien COVID- dalam waktu hanya lima hari saja.  Semoga indonesia bisa begini menghadapi lonjakan kasus krn pilkada &amp;;
;ijandreas sama deng pilkada.. covid kalah top 😂😂;;
;usrilihza_Mhd : Keterlaluan Dana Covid -  dipakai Pilkada, Kecurangan TSM di Kota Bandar Lampung Masuk MA   https://t.co/WpeQMbglA;;
;n_ps @ThoyibSKAK @Sndrasticaroli @FarhanM @_seaturtle Iaiaa.. pilkada kmaren bkin naik angka covid.. ga darurat namanya?? Ada yg di tangkap?? Di solo dan medan yg lbih hebat manusia berkerumunnya.. ada yg ditangkap? Jgn kan di tangkap di proses aja kagak;;
;vOneNews Padahal termasuk olahraga dan di akui seluruh dunia, orang indo gemar banget ambil kesimpulan dan keputusan sendiri. Tanpa pertimbangan yang adil dan nyata. Pilpres, pilkada, dll suka milih asalan, Corona dikata konspirasi tapi ada bantuan covid maju duluan, Kardus di ge;;
;itiAliahUlfah pilkada/pemilu itu kewajiban sebuah negara demokrasi kalo di tunda/dibatalkan bikin kacau sistem birokrasinya, US no  covid terbanyak kemarin ngadain pemilu presiden, udah aturannya begitu thn sekali kudu ganti presiden, ya kali jd  tahun,  sistem berubah lainnya jg;;
;qbalIqbalamq @RamliRizal Yg utama lonjakan yg luarbiasa covid  paskah pilkada serentak. Sumber dr tenaga medis di slh satu wil yg melaksanakan pilkada.;;
;SRainy @PithatPabu @harisfirdaus @mbahndi knp sih perbandingan harus pilkada, itu pilkada kan udah diatur hukum yg kalo ditiadakan/ditunda sistem birokrasinya kita yg sudah ada bakalan kacau dong, itu US no  covid terbanyak malah ngadain pemilu presiden kemarin, heran knp generas;;
;ebastianAdit @_Biiilan @Sapwankhan @Prof_Azyumardi Tau data? Bukan ss headline berita. Berita itu banyak sentimen untuk dari penulis untuk menjatuhkan sesuatu. Saya juga bisa bikin berita, kalau pilkada tidak mempengaruhi covid;;
;aLenTra_N @ganjarpranowo Ketika pilkada dipaksa tetap dilaksanakan. Akhirnya ketika kasus covid membesar yg disalahkan masyarakat yg katanya tak mentaati prokes.  Masyarakat bawah sangat tidak mengharapkan kondisi seperti ini. Utk bekerja saja sulit;;
;"ayaDajjaI @_Biiilan apwankhan @Prof_Azyumardi Ini pelanggaran, lalu kasus naik dan satgas covid secara serentak seluruh indonesia membantah ""penambahan tidak terkait pilkada"". Wtf?!  https://t.co/QVfvGTSzNM";;
;_y_o_k Dr dulu juga sdh ada pro-vaksin dan anti-vaksin.  Vaksinasi ttp jalan krn rakyat percaya  Sekarang? Rakyatnya gak percaya produk, gak percaya pemerintah, gak percaya Covid. Rakyat ingetnya sembuh sendiri, yuk pariwisata, empon, mudik, pilkada..  Yg kena aturan khan cm HRS;;
;ayaDajjaI @_Biiilan @sebastianAdit apwankhan @Prof_Azyumardi Naiknya covid apakah sudah jelas dari Pilkada atau memang krn kasus tdk mematuhi prokes. Soalnya kasus di kabupaten kami kebanyakan bukan dari Pilkada tapi orang yg ke luar daerah pulang dan tdk mematuhi prokes.;;
;utryleonie @taufiqrus Lah gmana dong dengan kampanye anak dan mantunya kmaren? Soal pilkada di daerah yg bkin naik angka covid? Gmana? Gmana?;;
;Biiilan @sebastianAdit @Sapwankhan @Prof_Azyumardi Ini saya beri data. Pergerakan covid  minggu setelah pilkada stabil, ga beda jauh sebelum pilkada. Masuk akhir tahun tambah parah, dan akhir-akhir ini covid rekor puluhan ribu.  https://t.co/vKIWGpl;;
;annesputra @muhmmddzaky @_jssycaya @NOTASLIMBOY kerumunan pilkada tidak terkena covid, krna kerumunan nya d lindungi undang 👍;;
;Tolong dong bapak/ibuk atimPemprov usulin pilkada tiap bulan, soalnya pas bulan pilkada digelar, peningkatan covid dikota saya katanya menurun, siapa tau solusi dari covid ini adalah menggelar pilkada 🙌🙌🙌;;
;aspiyu Shrsnya pemerintah mengantisipasi lonjakan covid ini dr awal mulai terdeteksinya suspect virus, tp apa lacur, kondisi diluar sana dijadikan guyonan dan seakan negara ini sdh steril Blm lagi lonjakan terakhir akibat pilkada serentak yg tyt jg dianggap dogeng;;
;OTASLIMBOY Beda lah ,covid itu cerdas yg ikut Pilkada aja dia tau;;
;Rela turun berpeluh bersama. Amanah Pilkada berintegritas di tengah pandemi dipikul. Hingga berhari-hari bertarung nyawa melawan covid-. Atas ijin-Nya, Pilkada  paling bersejarah itu, sukses!! Berintegritas. Partisipasi tinggi. Kami bangga padamu mas Ketua as_abudiman  https://t.;/t.co/jbiCuIGyr;
;ayatia Tp vaksin n ttg covid gbs jd materi kampanye pilkada depok dok..krn warga depok kan banyak yg ga percaya covid 🤣.;;
;"Wiwis_Kembali Kl gw prihatinkan selalu dipakenya inluencer di semua hal utk tutupi inti masalahnya. Selalu pake influencer &amp; buzzeRp utk dominasi media tutupi borok. Pilpres, omnibus, korupsi, hrs/fpi, km, pilkada, covid, semuanya! Kombinasinya sama tebang pilih hukum. Aktorn";. Tolol amat...;
;apakojoll @JombloKemaki Oalah tubak e obat e covid iku pilkada;;
;umainali @ganjarpranowo Sing jelas Covid ilange nak meh ono pilkada mase;;
;"ukumDan Saya sangat sangat setuju . Bkn "" membelah"" rakyat dari perlakuan yg tidak adil dari "" pemerintah"" terhadap masalah kerumunan . Seharusnya jd bahan pertimbangan, bahwa covid semakin masiv dan meningkat ini, setelah acara Pilkada, libur panjang,akhir taun, bkn krn IB";;
;wanKasinder cluster covid sudah diprediksi akan membludak setelah pilkada yg dislahkan liburan. Luar negeri sudah mewanti;; aman Covid-. PilkadaKitaDipuji oikirian @dhanyslaats @RestinaSiagian @WawaSiti @HyugaTotoro  https://t.co/wZwSWHz
;cowacko Disurabaya sempet nol gak ada yang kena covid tapi pas waktu mau pilkada, trus skrng pilkada udah kelar denger Surabaya ngelonjak lagi smpai sekarang? apa pilkada itu vaksin yang sebenarnya dan gratis tidak memerlukan biaya, malah kita yang dapet uang dari calon pemilihan;;
;derifaeuy Cuma dipake untuk pilkada masa covid doang;;
;h_notodiputro Lagian pilkada diadain padahal tuh lagi covid emang gemblung pemimpin nya;;
;zgho @JWick @txtdrpemerintah Katanya pilkada kebal covid 😂;;
;artono_ADjem Tenang, pilkada  juta org taat semua Yg ga taat yg liburan Jd covid bs milih;;
;mhadiUsman @kafiradikalis Ya itu klo gak salah sewaktu mo pilkada ada statmen bgtu.. apa cmn buat nyelametin proses pilkadanya ya gak tau jg. Kyak kemarin diberita terbukti penyebab meningkatnya covid karena liburan panjang tapi koq ada personal yg disalahkan bahkan dipenjara kre;;
;"rhamnapermana @IndraSaudara am_romans @NOTASLIMBOY Jadi kita mau pakai data yg mana? Oke kalo mau ambil contoh kasus di lapangan, before/ketika covid saya sering banget naik ojol/taksol &amp; sllu tanya gimana Sby ketika bu Risma menjabat,TBH mereka jawab more better than before";;
;ockdownRI @Ngebutmaut @heidy_alkaff @CNNIndonesia Pilkada tidak memicu covid karena menggunakan protokol kesehatan yang ketat, pemerintah mengantisipasi lonjakan virus corona dengan PPKM.  https://t.co/zgWUHRC;;
;ifofficial_ kan kita juga pesen yang % juga kita enggak bisa tergantung  fakin aja ,dan klo untuk pilkada kan ada juga yang kena kan masa inkubsinya  hari dan di akir thun kan meloncak angka yang kena covid ,setiap hari kan ada yang meninggal kena covid  https://t.co/XyVCaVpRl;;
;rajamusti Kalo toh yg  % jga sampainya cepat ga lama dari sinovac diluncurkan gmn? Intinya ini tntg mau / ga mau. Yang mau silahkan, yg ga jga silahkan karena sama ada UU nya. Mati? Ngomong soal mati, yang kampanye pilkada kemarin kok ga pada mati karena covid ya padahal berkerum;;
;ahyuUt @tempodotco Banyak membaca ya, penyumbang positif covid  per januari  pilkada sama liburan akhir tahun, di pentamburan dan megamendung sedikit sekali,. Intinya pemerintah tidak suka dengan FPI bukan masalah kerumunannya, apapun yang dilakukan HRS dan FPI pasti salah;;
;all_f_duty @MamaLegend @DivHumas_Polri Berak sekebon,kebon nya kepala lu..emang yg terjadi di pilkada itu bukan kerumunan?emang klo pilkada dan dikawal Bawaslu covidnya ga bakal ada gitu?cerdas bener tuh virus covid nya..jenis pelanggarannya sama kan?;;
;Kami melaporkan perkembangan kpi_id ,dr mulai kegiatan pr anggota DPRD di seluruh Ind, peran semua  kader dlm penanggulangan covid-, kemenangan di Pilkada Serentak, konsolidasi organisasi,persiapan ultah yg bertepatan di tgl  Jan   pkpi pkpindonesia partaizamanwow;;
;h_notodiputro -Sdh tau sumber dr China,malah cuek masukin TKC -Diingatkn bhaya covid,katanya nanti smbuh sndiri -Diingatkn RS nyaris full,malah dtuduh nakutin -Ditanya knp msh bnyak mudik, katanya itu pulangkampung -Didesak tunda pilkada, katanya itu hak konstitusional  https://t;;
;NNIndonesia Yg bikin kebijakan Pilkada jln terus siapa? Klastser pilkada covid main banyk;;
;itompu Loe awalnya ngeremehin covid-  Loemegizinkan turis asing &amp;;
;abibthink Untuk menurunkan tingkat penyebaran covid sebenarnya tak perlu PSBB, tapi cukup selenggarakan pilkada saja, kurva akan automatis menurun.;;
;aporCovid @jokowi Menjelang Pilkada seakan covid kayak udah gaada gitu,eh ngapa setelah Pilkada selesai covid kayak waktu pertama kali muncul;;
;issRevolusi Giliran org liburan bentar aja refreshing, lu sibuk mikirin covid dikolam renang dll. lah kemaren pilkada kemana? kok nda dibacotin? kenapa baru sekarang?;;
;rancmohede @aniesbaswedan @BangAriza Seharusnya dengan adanya covid  makin bersatu, eh ini malah tebar kebencian terus dan gak bisa move on dari pilkada. Dungu nya dipelihara;;
;nfoLMG Telat min kmarin pilkada loss kok, padahal kasus covid nambah mari pilkada;;
;AKfm Masyarakat banyak antipati, pilkada yg jelas ultra super spreader covid bole, rakyat cari makan disikat! Negara mau jamin isi perut? Ngga kan?, kalau memang larang bepergian libur nataru sekalian kyk awal hanya profesi tertentu yg boleh dan pake surat tugas, kayak stengah ha;;
;"oogleKyai @USutendi @kh_notodiputro Memang sulit pmrnth disini:  )  )  ) disuruh test n tracing, penyerapan anggaran di hotel dan perjalanan dinas ) Ada pilkada dipersoalkan: ""jgn berpikir krn pilkada virus nyebar"". . Covid- melejit, ""alhamdulillah kita tidak perlu lokdon Harus d";;
;artono_ADjem Narasi covid ky wktu awal” mulai ramai lagi.  Apa pd lupa kalo yg kmrn blg di rumah aja skrg udh pada ngonten, endorse serta jalan”, termasuk @wulanguritno   Apa pd lupa kl omnibus, HRS, Pilkada, Bobby, antrian Bandara dll kmrn membuat kerumunan dr kmrn;;
;h_notodiputro Tenang aja prof, Kita punya Jokowi, kalung anti covid, jamu temulawak, joged uburubur, pilkada, dan yg terakhir... Sarsaparilla.;;
;erlianidris @DonAdam kemaren new normal alias berdamai ama corona Lalu Corona gak efek ke PILKADA  Lalu rakyat diajak bersyukur, Kelola covid -  Emang buat Kue ?;al menang;
;adioElshinta Efek pilkada ngomong nya jadi ngaco tentang COVID-🦠😷  Mungkin beliau baru terbangun dr hibernasi di dalam goa  Kasihan +;ilang.🤔;
;siJuntak @BowoEndarto Padahal kemaren sebelum pilkada kayaknya covid dah mulai mereda..sekarang mengganas  lagi...;;
;nfobdg Fun Factnya mayoritas warga Kab. Bandung pada gamau di test rapid biasa atau anti gen walau pun itu gratis, karena msh banyak yg nganggep covid adalah aib, kenapa saya bilang gini ? Karena pengalan pilkada kemarin , panitia daerah kampung sebelah gamau test karena alasan t;;
;ecialam Wayahe pilkada ga ada isu covid, malah dinyatakan menurun.;; aman Covid-.  https://t.co/ZKZCSyRobf DemokrasiKitaDihargai as__Nadi @silentking @jurigmalam @Yedeha @AwangSancaka
;itiAliahUlfah @visitortwt @elisa_jkt Covid mana berani..lha wong pilkada sudah dilindungi sama UU..;;
;akarkampanye Ya wajar saja somad emosi. Popularitasnya semakin menurun, ditambah wabah covid order ceramah semakin sepi. Endorsan pilkada dan pilpres kalah mulu. Emosi lah dia, tapi mau marah sama siapa? Yg ada cuma ummat yg ada didepan nya, lampiaskan saja..;;
;ella_Peter_ Mau pspb mau pskniki bodo amatlah kemarin kenapa ngeyel pilkada  knp PSBB ga dari november,bukti FPI HRS DISAYANG ALLAH SEKIAN RATUS JUTA pecinta HRS GA ADA YG TERPAPAR COVID kan,,pengin covid berakhir GAMPANG HABISIN CEBONG  TURUNAN.;;
;ss Pilkada maneh ar pak, obate covid.;bira anak mantu jd ponggawa😁😁🤣;
;erd_ @KemensosRI Emang  ada pilkada? Bukannya digabung dengan pilkada  serentak , ya?  Terus kalo nanti Bu Risma terpapar Covid- karena blusukan di zona merah Jakarta, gimana? Apa nggak kasian?;;
;raster @jakapujakesuma @drnewstwit @PerkasaHabsyah @adiimilano @elisa_jkt @firdzaradiany Krn tracingnya gak jalan sebagaimana mestinya. Kalo emang berkumpul segitu rapetnya gak kausal sm jumlah positif covid ngapain kt ribut nolak pilkada misalnya ?;;
;"anyaaditya Yang dulu santai"" pas negara lain lockdown siapa ha ? Yang dulu suruh ngerelain rakyat hidup sama covid siapa ? Yang dulu ngebet banget pengen pilkada siapa ? Sekarang Anies disalahin, cebong emang dongonya ga ketulungan 🖕🖕";;
;itiAliahUlfah @elisa_jkt Setelah demo, setelah liburan, setelah pilkada, setelah hari raya, setelah tahun baru, tetap ada kasus covid. Besok anda bangun pagi, juga tetap ada kasus covid. Bukan ramalan canggih, tapi itu epidemologi. Makanya perlu vaksin. Ngibul demo hanya kecil pe;;
;wanfals covid masih rame aja tetep keukeu pilkada. apa si yg gak mungkin untuk kekuasaan om;;
;izally Nah sekarang ga ada yang meneliti efek Pilkada pada penularan Covid  kan?;;
;ewIyem Iya sih nng. Di komen paling bawah jg ada yg protes sma sy, knp msh keluar rmh katanya, covid nanjak. Nyelekit jg tuh bacotnya. Knp saat pilkada dia diam saja;;
;eritasatu Pandemi Covid  memang disetting hingga selesai perhelatan pilkada DKI dan Pilpres ...... Begitu juga dgn status tersangka HRS serta ancaman hukumannya.....;;
;onopradana Pilkada bebas covid 😄;;
;utraWadapi Dalam hal .... - Banyak bcanda dan nglawak saat Covid mulai masuk ke Indonesia.  - Bikin kampanye NewNormal dan gelar Pilkada saat si Covid masih merajalela. - Lockdown setengah hati sehingga bikin org msh bs bebas bergerak   Akibatnya skarang ini si Covid makin tak te;;
;eritasatu Jadi  pas pilpres dan pilkada ya, setelah itu ada covid;;
;lisa_jkt termasuk pilkada ternyata tdk terkorelasi ke kasus covid ya;;
;"eritasatu baru reda ? Pas bgt Pemilu &amp; pilkada serentak, mulai berkerumun lagi saat kampanye dan juga nyoblos di tps. setelah itu timbul lagi covid vol";;
;adirasusilo Ga libur dok,namanya pedagang. Yg penting yg dateng pake masker cuci tangan pake antispetik prat prot. Alhamdulillah walopun kota kecil warganya lumayan logis. Tetep aja covid melambung habis pilkada;;
;meeranti Rakyat percaya bahwa covid itu virus yg sangat berbahaya, bagaimana dengan mereka yg korupt trilyunan, yg memberi discount saat pandemi , yg membuat kerumunan di pilkada, yang memberi peluang dg liburan panjang, dan banyak lagi yang membuat cluster karena itu.;;
;wanfals Klw diliat dari pola pendahulunya memang bgtu bang, bisa jadi utk persiapan pilkada DKI . Mereka mah engga peduli covid bang demi anak mantu aj jalan terus tu pilkada .;;
;Dan sekian banyak rakyat terinfeksi covid gapapa, asal  anak  mantu ikut pilkada🙏🏼 gitu ya pak okowi ?;;
;ransAndre @Rahmatfajri ya bisa jadi seperti itu kalo pilkada dibatalkan karna saya ngerasa covid ini lama-lama dijadikan permainan sama kaum elit;;
;Kadrun Jd yg mati saat pilkada, abis pilkada, yg tertular trus jd otg bahkan positif di rawat abisin milyaran itu siapa yg tanggung jawab yah? Dn skrg pemerintah pake tangan besi buat brantas covid. Yg bikin ulah siapa yg di salahin siapa. Mbok ya mikir napa,kok rakyat terus yg s;?;
;Kadrun Mendagrinya bilang pilkada bisa menurunkan angka kematian covid, masuk hoax nggak ya?;;
;lisa_jkt @DonAdam @jokowi berkat New nornal dan tdk  https://t.co/mFMOaHYHm down ..trima kasih covid bisa seperti saat ini...mantulll dgn PILKADA tdk bisa buat Covid spt skrng .krn pilkada tdk ada hubungannya dgn covid;;
;icho_Silalahi @DonAdam yg di salahhin itu rakyat pendukungmu.yg awal covid dukung jokowi utk tdk me LD n nentang membully dimedsos rakyat yg dukung LD..gub dki yg ingin lock down...apa lupaaa yg getol tetep ada PILKADA DAN TDK menindak tegas kerumunan proses pilkada di solo ,meda;;
;kardono @marlina_idha @inoengsyoekoer Pokoknya pemerintah selalu benar. Peningkatan covid krn libur akhir taun. Bkn pilkada...;;
