username;tweet;value;remove_user
koebonongadi;@KompasTV Nyata.... ditengah pandemi dilaksanakan Pilkada..... Trus masyarakat dikatakan tdk mengikuti protokol kesehatan....  Damn;negatif; Nyata.... ditengah pandemi dilaksanakan Pilkada..... Trus masyarakat dikatakan tdk mengikuti protokol kesehatan....  Damn
wlaha_sarimbit;@Kimberley20101 Wisata digenjot kala pandemi meluas Pelanggaran prokes bisa dipidana Ada pilkada kopid bisa minggat karena pilkada dilindungi uu Ada pilmunan (pilihan kerumunan) selain rejim kena ciduk dipidanakan #tkacinaBNGST bisa kerja dng bebas visa t;negatif; Wisata digenjot kala pandemi meluas Pelanggaran prokes bisa dipidana Ada pilkada, kopid bisa minggat karena pilkada dilindungi uu Ada pilmunan (pilihan kerumunan), selain rejim kena ciduk, dipidanakan #tkacinaBNGST bisa kerja dng bebas visa, tki dpt omnibusloo
mrriza1966;@idtodayco emang kemana aja selama ini ko baru tau.....aneh bin ajaib..jangan lempar batu sembunyi tangan dengan melempar kesalahan di masa lalu.......covid19 sekarang luar biasa tidak lepas dari pilkada yg ngotot dilakukan saat pandemi.;negatif; emang kemana aja selama ini ko baru tau.....aneh bin ajaib..jangan lempar batu sembunyi tangan dengan melempar kesalahan di masa lalu.......covid19 sekarang luar biasa tidak lepas dari pilkada yg ngotot dilakukan saat pandemi.
muchlis88426192;@iwahyudis Pilkada saja dg segala hiruk pikuk kampanye mulai arak2an ngumpulin masa pesta kemenangan yg semuanya dihelat meriah bak pilkada bukan dimasa pandemi semua bisa terselenggara tanpa ada peluit dr otoritas yg berkepentingan dg redanya pandemi. sk;negatif; Pilkada saja dg segala hiruk pikuk kampanye, mulai arak2an, ngumpulin masa, pesta kemenangan yg semuanya dihelat meriah bak pilkada bukan dimasa pandemi, semua bisa terselenggara tanpa ada peluit dr otoritas yg berkepentingan dg redanya pandemi. skrg org mau pelesir kok dihebohin
makwi12;@geloraco Jangan salahkan rakyatitu imbas dari pilkada yg dipaksakan Pd masa pandemi .....;negatif; Jangan salahkan rakyat,itu imbas dari pilkada yg dipaksakan Pd masa pandemi .....
nndrae;@drpriono1 @JoeBiden @jokowi Demi nyawa dokter n nakes yg mati sia-sia krn kebijakan awal goyang tik tok trio duta covid ribet mudik vs pulkam buka3-an mall di saat pandemi tetap lanjut pilkada dan anak3 masuk kelas tatap muka. Mohon ampul vaksinnya ganti;negatif; @JoeBiden @jokowi Demi nyawa dokter n nakes yg mati sia-sia krn kebijakan awal goyang tik tok, trio duta covid, ribet mudik vs pulkam, buka3-an mall di saat pandemi, tetap lanjut pilkada dan anak3 masuk kelas tatap muka. Mohon ampul vaksinnya ganti dg ampul antraxh sajalah😂😂😂
media_maju;@ramzithanos @ambissay Kita tidak tau sampai kapan pandemi ini akan berakhir demokrasi harus tetap berjalan pemerintah sudah melaksanakan pilkada dengan sukses berkat prokes ketat pilkadapun tidak menimbulkan klaster baru.  https://t.co/a6tnkDGqQB;positif; @ambissay Kita tidak tau sampai kapan pandemi ini akan berakhir demokrasi harus tetap berjalan, pemerintah sudah melaksanakan pilkada dengan sukses berkat prokes ketat pilkadapun tidak menimbulkan klaster baru.  https://t.co/a6tnkDGqQB
hmmurahmurahhm2;Akibat Suara Jurdil Transparan Para Ahli Pandemi @Juruwabah Dr Pandu Riono dan Dr Tirta di @ILCtv1 Dicuekin Kerumunan Orang' Kampanye dan Pencoblosan Pilkada Serentak Dilindungi Undang2 Tapi Tak KEBAL Covid19 Terus Bertambah SeranganVirus Corona Demokratis;negatif;Akibat Suara Jurdil Transparan Para Ahli Pandemi  Dr Pandu Riono dan Dr Tirta di @ILCtv1 Dicuekin, Kerumunan Orang' Kampanye dan Pencoblosan Pilkada Serentak Dilindungi Undang2, Tapi Tak KEBAL Covid19 Terus Bertambah, SeranganVirus Corona Demokratis
muhadklyacho;@misasanthrope Lockdown ya solusi buat isolasi lah. Bantu pakai bansos.  Pemerintah regulasi apa? Ngingetin 3M? Yaelah itu mah tugas kakek nenek.   Pemerintah tuh tugasnya kendalikan pandemi. Bukan malah asik promo jalan2 buka akses liburan trus ngotot pi;negatif; Lockdown ya solusi buat isolasi lah. Bantu pakai bansos.  Pemerintah regulasi apa? Ngingetin 3M? Yaelah, itu mah tugas kakek nenek.   Pemerintah tuh tugasnya kendalikan pandemi. Bukan malah asik promo jalan2, buka akses liburan, trus ngotot pilkada. Itu.
vesalhakim;@geloraco Ada yg pengen tetep pilkada spy tkg martabak ngga jadi tukang martabak terusada yg minta pariwisata di dorong di masa pandemi dll... skrg nyalahin rakyat??;negatif; Ada yg pengen tetep pilkada spy tkg martabak ngga jadi tukang martabak terus,ada yg minta pariwisata di dorong di masa pandemi, dll... skrg nyalahin rakyat??
zidan05371884;@berlian_idris @endanghidayat Trus mo salahkan prediden gr2 awal pandemì abei ato kpu krn ngotot gelar pilkada maaf mas mrk itu org2 suci tdk pernah salah;negatif; @endanghidayat Trus mo salahkan prediden gr2 awal pandemì abei ato kpu krn ngotot gelar pilkada maaf mas mrk itu org2 suci tdk pernah salah
harun_nugraha;@republikaonline Ikuti MUIjgn d bangkang lagi.seprti pilkada.akibatnya repot semua krn pandemi kian meraja;negatif; Ikuti MUI,jgn d bangkang lagi.seprti pilkada.akibatnya repot semua krn pandemi kian meraja
muhammadikhtid1;@CNNIndonesia Yg ada dengan memaksakan PILKADA DITENGAH PANDEMI lah yg menyebabkan pandemi semakin meningkat Pemerintahnya aja asal asalan buat kebijakan jd jangan salahkan rakyatnya;negatif; Yg ada dengan memaksakan PILKADA DITENGAH PANDEMI lah yg menyebabkan pandemi semakin meningkat Pemerintahnya aja asal asalan buat kebijakan, jd jangan salahkan rakyatnya
pramukti5;@txtdrcapricorn @_fakhrilh @ArikJez @KompasTV Yang ngotot pilkada ditengah pandemi siapa?!!! Ha?!;negatif; @_fakhrilh @ArikJez @KompasTV Yang ngotot pilkada ditengah pandemi siapa?!!! Ha?!
hmmurahmurahhm2;Innalillahi Wainailaihi Roji'un PILKADA MAUT dilindungi Undang-2 Tak Ada Kluster Baru Penularan Covid19 Tak Terbukti. Yg Benar Ahli Pandemi Dokter Pandu Riono Dr Tirta di @ILCtv1 Kerumunan Orang' Sebab Utama Meningkat Drastis Jumlah Penuralaran;negatif;Innalillahi Wainailaihi Roji'un, PILKADA MAUT dilindungi Undang-2 Tak Ada Kluster Baru Penularan Covid19 Tak Terbukti. Yg Benar Ahli Pandemi Dokter Pandu Riono, Dr Tirta di  Kerumunan Orang' Sebab Utama Meningkat Drastis Jumlah Penuralaran
miqbalnov;@lindasusan0 @barcode_project @KompasTV Ekonomi ga kuat tp bikin pilkada d tengah pandemi? Goblok ga tuh. Udah mah ngeluarin biaya ngebikin virus tambah banyak lg. Tp namanya demi ngasih jabatan ke anak dan mantu ya dipaksain terus pilkada soal rakyat mat;negatif; @barcode_project @KompasTV Ekonomi ga kuat tp bikin pilkada d tengah pandemi? Goblok ga tuh. Udah mah ngeluarin biaya, ngebikin virus tambah banyak lg. Tp namanya demi ngasih jabatan ke anak dan mantu, ya dipaksain terus pilkada, soal rakyat mati mah no sekian...
pandukwn;@panditfootball Emang mau dipaksa kayak pilkada gitu? Lagi pandemi gini juga.;negatif; Emang mau dipaksa kayak pilkada gitu? Lagi pandemi gini juga.
pramukti5;@lindasusan0 @barcode_project @KompasTV Lah pemerintah aja nyalahin rakyat mulu kenapa rakyat dilarang nyalahin pemerintah??? bacot ngomong prokas prokes lagi pandemi disuruh tunda Pilkada malah ngeyel. Hadeh.;negatif; @barcode_project @KompasTV Lah pemerintah aja nyalahin rakyat mulu, kenapa rakyat dilarang nyalahin pemerintah??? bacot ngomong prokas prokes, lagi pandemi disuruh tunda Pilkada malah ngeyel. Hadeh.
kampusbrandal;@berlian_idris Iya in saja. Kan rakyat yang buat regulasi untuk melegalkan pilkada serentak di tengah pandemi kemarin.  Efek nakhoda nya tolol ABK jadi tolol semua;negatif; Iya in saja. Kan rakyat yang buat regulasi untuk melegalkan pilkada serentak di tengah pandemi kemarin.  Efek nakhoda nya tolol, ABK jadi tolol semua
kulo_zhargopro;@okezonenews Kalau membiarkan kerumunan pilkada pas pandemi namanya ape yeee?? Pembebasan nak mantu gitu🤣;negatif; Kalau membiarkan kerumunan pilkada pas pandemi namanya ape yeee?? Pembebasan nak mantu gitu🤣
studsguy;@ttssaabbiittaa @campusteast @geloraco Kerumunan pilkada ada Batas nya dan ketentuan nya sesuai yg di anjurkan pemerintah..dimana pun juga kl pilkada atau pilres tetep diadakan meskipun lagi pandemi;positif; @campusteast @geloraco Kerumunan pilkada ada Batas nya, dan ketentuan nya sesuai yg di anjurkan pemerintah..dimana pun juga kl pilkada atau pilres tetep diadakan meskipun lagi pandemi
nugstriamdans;@KompasTV Pas mau pilkada aja angkanya yg positif turun dan saya kira pandemi akan berkurang saat mau pilkada tapi setelah pilkada angka2 yg positif tiba2 naik drastis dan yg disalahkan tetep masyarakatnya..masyrakat butuh cari uang buat makan dan butuh l;negatif; Pas mau pilkada aja angkanya yg positif turun dan saya kira pandemi akan berkurang saat mau pilkada tapi setelah pilkada angka2 yg positif tiba2 naik drastis dan yg disalahkan tetep masyarakatnya..masyrakat butuh cari uang buat makan dan butuh liburan biar gak stress
sajatemenmu;@VIVAcoid utng buat pandemi? utamg buat pilkada kaliiiiii;negatif; utng buat pandemi? utamg buat pilkada kaliiiiii
akiem_west;@republikaonline Ya cukup tinggi karena pilkada di paksakan di tengah pandemi;negatif; Ya cukup tinggi karena pilkada di paksakan di tengah pandemi
wiedprastiya1;@VIVAcoid Knp kemaren ngotot pilkada bukankah itu birahi politik jg yg memaksa di tengah pandemi Siapa yg lg birahi politik;negatif; Knp kemaren ngotot pilkada, bukankah itu birahi politik jg yg memaksa di tengah pandemi Siapa yg lg birahi politik
gantengkampret;@PeriSyantik @CNNIndonesia @mohmahfudmd Jangan bicara korban kalau pilih pilih.Klaster pilkada juga menghasilkan korban.Kalau prioritas yg diutamakansudah sejak awal pandemi oposisi mengingatkan supaya menutup penerbangan dari dan kenegara yg penduduknya ;negatif; @CNNIndonesia @mohmahfudmd Jangan bicara korban kalau pilih pilih.Klaster pilkada juga menghasilkan korban.Kalau prioritas yg diutamakan,sudah sejak awal pandemi oposisi mengingatkan supaya menutup penerbangan dari dan kenegara yg penduduknya sudah terkena wabah,lha ini malah mau gelontorkan 17 M
puteranusantar3;@do_d_Best @SrikayaNona @LisaAmartatara3 2. Mengapa yg ditjndak hny jkt?adil? Pilkada jalan silahkan sesuai UU pernikahan jg ada UUnya konteksnya bukan uu pemilu atau uu nikah tetapi pelanggaran prokesnya toh selama pandemi semua masih boleh nikah atas da;positif; @SrikayaNona @LisaAmartatara3 2. Mengapa yg ditjndak hny jkt?adil? Pilkada jalan silahkan sesuai UU, pernikahan jg ada UUnya, konteksnya bukan uu pemilu atau uu nikah tetapi pelanggaran prokesnya, toh selama pandemi semua masih boleh nikah, atas dasar apa penindkan prokes teban pilih? 3. Turut berdka u Sigi
bk_rijbabar;@humaspoldajbr KERUMUNAN DI MASA PANDEMI COVID-19 TERJADI DI KABUPATEN BANDUNG PROVINSI JAWA BARAT SETELAH BERES PILKADA DIDUAGA PEMBIARAN INTANSI TERKAIT  https://t.co/3buSZSJiOu;negatif; KERUMUNAN DI MASA PANDEMI COVID-19, TERJADI DI KABUPATEN BANDUNG PROVINSI JAWA BARAT, SETELAH BERES PILKADA DIDUAGA PEMBIARAN INTANSI TERKAIT  https://t.co/3buSZSJiOu
kompasdata;Penanganan pandemi memberikan tantangan tak mudah bagi kepala daerah. Para pemimpin ini harus berupaya agar wilayah mereka tak menjadi kluster baru penularan Covid-19 terutama jika baru saja melaksanakan pilkada. @RanggaEkaSakti1 #LitbangKompas #COVID19  https://t.co/bDgcAgQLTz;positif;Penanganan pandemi memberikan tantangan tak mudah bagi kepala daerah. Para pemimpin ini harus berupaya agar wilayah mereka tak menjadi kluster baru penularan Covid-19, terutama jika baru saja melaksanakan pilkada.  #LitbangKompas #COVID19  https://t.co/bDgcAgQLTz
kerja_ikhlas;@ay_nopi @ustadtengkuzul Tolol kamu.... Mal-mal dibuka tmpt wisata dibuka pilkada diadakan padahal lagi pandemi gini.;negatif; @ustadtengkuzul Tolol kamu.... Mal-mal dibuka, tmpt wisata dibuka, pilkada diadakan padahal lagi pandemi gini.
dima20065343;@Fatwa_Adikusuma Disini handle pandemi ala Indonesia...semua dianggap bisa 'diajak ngobrol' selesai. Masih naik datanya maunya new normal Naik lagi datanya mari laksanakan pilkada Banyak yang kritik dibui karena ujaran kata Karena tangkap orang alasan atu;negatif; Disini handle pandemi ala Indonesia...semua dianggap bisa 'diajak ngobrol' selesai. Masih naik datanya maunya new normal Naik lagi datanya, mari laksanakan pilkada Banyak yang kritik, dibui karena ujaran kata Karena tangkap orang alasan aturan pandem disuruh kembali ke titik awal
asli_kutai;@tempodotco Sekarang baru kita tahu alasannya Pemerintah tdk mau membatalkan/menunda PILKADA walupun ada ancaman meningkatnya pandemi...ini rezim Bangsat Biadab..!!😠;negatif; Sekarang baru kita tahu alasannya Pemerintah tdk mau membatalkan/menunda PILKADA, walupun ada ancaman meningkatnya pandemi...ini rezim Bangsat Biadab..!!😠
hidupriego;@ClaraAr71201954 Ga aneh jg ngotot pilkada saat pandemi yg bikin ekonomi lesu. Dana kampanyenya?;negatif; Ga aneh jg ngotot pilkada saat pandemi yg bikin ekonomi lesu. Dana kampanyenya?
jhoniprima78;@jokowi negeri ini. Ingat tidak?   Hari ini setelah sekian lama penanganan pandemi di negeri ini yang semaunya saja. Kerumunan dibiarkan saja. Pilkada tetap digelar dll dsbgnya sudah tidak nyambung lagi kalian sok panik sok serius. Kita itu sudah kadung. ;negatif; negeri ini. Ingat tidak?   Hari ini, setelah sekian lama penanganan pandemi di negeri ini yang semaunya saja. Kerumunan dibiarkan saja. Pilkada tetap digelar, dll, dsbgnya, sudah tidak nyambung lagi kalian sok panik sok serius. Kita itu sudah kadung.  Jika ada sebuah daerah
batulangit5;@tempodotco Pantesan... Saat pandemi virus china lagi rame ramenyangeyel minta pilkada tetep di adakan...  INI TOH MAUNYA...  DANA KAMPANYE TANPA BATAS...;negatif; Pantesan... Saat pandemi virus china lagi rame ramenya,ngeyel minta pilkada tetep di adakan...  INI TOH MAUNYA...  DANA KAMPANYE TANPA BATAS...
bkns4p4s4p4;@musaKSQ Ngotot pilkada saat pandemi pdhl byk pakar dan tokoh minta ditunda krn bisa memunculkan klaster baru krn itu dia...ya itu dia...gk laen lagi Ya itu dia sebabnya kan ada itu tuh trus itunya ngucur tuh sempatan dah yg ngucur itu di ituin dah seolah;negatif; Ngotot pilkada saat pandemi pdhl byk pakar dan tokoh minta ditunda krn bisa memunculkan klaster baru krn itu dia...ya itu dia...gk laen lagi Ya itu dia sebabnya, kan ada itu tuh trus itunya ngucur tuh sempatan dah yg ngucur itu di ituin dah seolah peduli pdhl ya ituuuu daaahhh
gigishakit;@MaspiyuO Paham skrg kenapa pilkada harus tetap jalan ditengah pandemi. Mumpung byk proyek yg bs ditilep buat menang calon @PDI_Perjuangan di pilkada #TragediKemanusiaanKM50  #TangkapAnakPakLurah;negatif; Paham skrg kenapa pilkada harus tetap jalan ditengah pandemi. Mumpung byk proyek yg bs ditilep buat menang calon @PDI_Perjuangan di pilkada #TragediKemanusiaanKM50  #TangkapAnakPakLurah
keluargaber_;@jokowi Di suasana pandemi ini bansos mengalir untuk dikorupsi demi memuaskan napsu pilkada ?  https://t.co/0FWfFlMFL9;negatif; Di suasana pandemi ini, bansos mengalir untuk dikorupsi demi memuaskan napsu pilkada ?  https://t.co/0FWfFlMFL9
ghcl12;@SariMita10 Pilkada tu maksa di masa pandemi petugas KPU reaktif juga pula dan kerumunan kampanye juga;negatif; Pilkada tu maksa di masa pandemi petugas KPU reaktif juga pula dan kerumunan kampanye juga
aryantiridwan;@MasBontot6 @koensaputr @anak_mudanyaa @ustadtengkuzul Cangkemmu pandemi. Nyata betol beda perlakuan. Kalau kau punya otak pasti marah sama yg rame2 di Solo pas pilkada bos!!! Di Pekalongan maulidan watimpres. Mana suaramu!!!;negatif; @koensaputr @anak_mudanyaa @ustadtengkuzul Cangkemmu pandemi. Nyata betol beda perlakuan. Kalau kau punya otak pasti marah sama yg rame2 di Solo pas pilkada bos!!! Di Pekalongan maulidan watimpres. Mana suaramu!!!
queendria7;@Whoru90408865 @LanangJagad31 @drpriono1 @aniesbaswedan WABAH BARU bicaranya PENGENDALIAN. Buktinya BANYAK NEGARA MAMPU mengendalikan pandemi karena FOKUS KESEHATAN SEJAK AWAL ga kek presidenmu yg SOK MAU MAEN AMAN  BALANCE? LOL tetap resesi pandemi tidak;negatif; @LanangJagad31 @drpriono1 @aniesbaswedan WABAH BARU bicaranya PENGENDALIAN. Buktinya BANYAK NEGARA MAMPU mengendalikan pandemi karena FOKUS KESEHATAN SEJAK AWAL, ga kek presidenmu yg SOK MAU MAEN AMAN,  BALANCE? LOL tetap resesi, pandemi tidak terkendali, PILKADA jalan, DIKENCINGI rizieq pula. BALANCE dari HONGKONG? LOL
cccc0123cccc;@duniamimpigie Nah kan gak mikir kek gitu.... Buktinya dilanjut terus noh.. Pilkada jalan terus di masa pandemi.. Blm lg ada yang usul presiden biar bisa jabat 3x. Banyak yang nyinyirin tuh sekalian aja seumur hidup soalnya keliatan serakah bangettt...;negatif; Nah kan gak mikir kek gitu.... Buktinya dilanjut terus noh.. Pilkada jalan terus di masa pandemi.. Blm lg ada yang usul presiden biar bisa jabat 3x. Banyak yang nyinyirin tuh sekalian aja seumur hidup soalnya keliatan serakah bangettt...
duniamimpigie;@cccc0123cccc Lah yg kemarin ini buat dukung handai taulannya sendiri buat maju Pilkada??? Mana sisi produktifnya?? Yg dimalingin duit rakyat yg susah di tengah pandemi pula!;negatif; Lah, yg kemarin ini buat dukung handai taulannya sendiri buat maju Pilkada??? Mana sisi produktifnya?? Yg dimalingin duit rakyat yg susah di tengah pandemi pula!
hsthinker;@temponewsroom Udah tau kan knp pilkada ngotot dilaksanakan saat pandemi?;negatif; Udah tau kan knp pilkada ngotot dilaksanakan saat pandemi?
queendria7;@Whoru90408865 @LanangJagad31 @drpriono1 @aniesbaswedan KETELADANAN itu ALAMI  TURUN dari ATAS pusat aja NAPSU MAKSA PILKADA tanpa bisa MENGENDALIKAN PANDEMI maksa #NewNormalPREMATUR TAKUT PSBB lebih mentingin PERUT kelean gitu kok MIMPI MENDISIPLINKAN wa;negatif; @LanangJagad31 @drpriono1 @aniesbaswedan KETELADANAN itu ALAMI,  TURUN dari ATAS, pusat aja NAPSU MAKSA PILKADA tanpa bisa MENGENDALIKAN PANDEMI, maksa #NewNormalPREMATUR, TAKUT PSBB, lebih mentingin PERUT kelean, gitu kok MIMPI MENDISIPLINKAN warga? LOL
noviantod;@DinadaNayla @FernaRondonuwu @detikcom Pilkada wajib ya? Padahal bisa lo Pemerintah menunda Pilkada dengan dasar Pandemi! Tapi Pemerintah kan ngotot! Padahal oposisi aja tidak ada yang ngotot! Cukup Solo dan Medan saja kalau masih ngotot adakan pilkada da;negatif; @FernaRondonuwu @detikcom Pilkada wajib ya? Padahal bisa lo Pemerintah menunda Pilkada dengan dasar Pandemi! Tapi Pemerintah kan ngotot! Padahal oposisi aja tidak ada yang ngotot! Cukup Solo dan Medan saja kalau masih ngotot adakan pilkada, daerah yang lain tidak usah dipaksakan
clamarchisio8id;@jokowi Macam-macam cara mengisi waktu di rumah selama pandemi. Bekerja membaca berolahraga atau menggeluti aneka hobi baru bersama keluarga.  Terkecuali kalau ada Pilkada datanglah ke TPS.  Selamat berakhir pekan.;positif; Macam-macam cara mengisi waktu di rumah selama pandemi. Bekerja, membaca, berolahraga, atau menggeluti aneka hobi baru bersama keluarga.  Terkecuali kalau ada Pilkada, datanglah ke TPS.  Selamat berakhir pekan.
anton_thabrani;@babegino1 Pilkada juga berkerumun beresiko pandemi juga kok dibiarkan?;negatif; Pilkada juga berkerumun, beresiko pandemi juga, kok dibiarkan?
harun_nugraha;@tempodotco Kritik d bilang ujaran kebencian.kebijakan bapa yg membahayakan masyarakat.menggelar pilkada d tengah pandemi.HRS dipersilahkan pulang;negatif; Kritik d bilang ujaran kebencian.kebijakan bapa yg membahayakan masyarakat.menggelar pilkada d tengah pandemi.HRS dipersilahkan pulang
harun_nugraha;@Fahrihamzah Coba @DPR_RI  punya inisiatifbrtanya kpd pemerintah.sudah tau ada pandemiknp HRS d persilahkan pulangpilkada ttp d gelar.itu semua bibit kerumunan.giliran d demod tangkepin 🤦‍♂️;negatif; Coba @DPR_RI  punya inisiatif,brtanya kpd pemerintah.sudah tau ada pandemi,knp HRS d persilahkan pulang,pilkada ttp d gelar.itu semua bibit kerumunan.giliran d demo,d tangkepin 🤦‍♂️
topanirfan08;@disneyland2118 @FerdinandHaean3 @Dennysiregar7 @RETHA_Monicaa Pilkada kok pas pandemi.. Kampanye jg pas pandemi.. Preetttlaahhh negara hukum;negatif; @FerdinandHaean3 @Dennysiregar7 @RETHA_Monicaa Pilkada kok pas pandemi.. Kampanye jg pas pandemi.. Preetttlaahhh negara hukum
dani_dd1897;@AShariefudin @CanBeatUs @Z47EEE @detikcom Sejak kapan demo harus ada izin ? Demo itu yg harus ada itu pemberitahuan akan dilaksanakan aksi pada hari jam dan lokasi. Jangan sok tau Klo ga tau..Btw gimana klo pertanyaan nya saya balik. Udah tau lagi pandem;negatif; @CanBeatUs @Z47EEE @detikcom Sejak kapan demo harus ada izin ? Demo itu yg harus ada itu pemberitahuan akan dilaksanakan aksi pada hari jam dan lokasi. Jangan sok tau Klo ga tau..Btw, gimana klo pertanyaan nya saya balik. Udah tau lagi pandemi masih aja laksanain pilkada..waras ngga situ ? 🤭
bunga01_seroja;@tomi_sup Demo2 d stuasi pandemi yg bermsalah. Jika ad pelanggaran bwtku itu jls pembodohan. Ad fasilitas lain cara berpndapat.   Beda lg dgn Pilkada tp tuk aturan prokesnya sm ad satgas covid n panwas dsana. Klw ad pelanggaran d sanksi diskualifikasi..;positif; Demo2 d stuasi pandemi yg bermsalah. Jika ad pelanggaran, bwtku itu jls pembodohan. Ad fasilitas lain cara berpndapat.   Beda lg dgn Pilkada, tp tuk aturan prokesnya sm, ad satgas covid n panwas dsana. Klw ad pelanggaran d sanksi diskualifikasi..
kowoey;@rzwings @detikcom Iya. Memang kita bahas covid. Pilkada di masa pandemi covid ini juga gak bener. Inilah kebiasaan kaum ente salah bukannya introspeksi malah nyari kesalahan orang.;negatif; @detikcom Iya. Memang kita bahas covid. Pilkada di masa pandemi covid ini juga gak bener. Inilah kebiasaan kaum ente, salah bukannya introspeksi malah nyari kesalahan orang.
